34.6	54.5
3.43	46.6
3.3	4.4
1.55	5.6
3.4	4.6
2.33	5.66
3.4	33.3
1.3	4.6
2.3	4.5
3.4	4.5
2.2	56.4
4.4	4.5
4.4	4.5
33.3	4.5
3.4	4.5
3.4	34.56
3.3	4.5
3.3	34.5
3.3	34.5
2.3	4.5
4.4	3.4
1	12	3.5
2	1	4.5
3	2	4.5
4	6	4.5
2	5	1.24
7	19	0.64
6	7	3.24
6	3	4.66
10	4	5.6
3	20	4.5
4	16	56
0	15	5.7
2	12	2.4
2	5	4.6
5	20	4.6
8	7	12.3
9	13	5.7
9	17	4.6
10	6	687.6
11	12	586.6
11	12	485.4
12	15	54.4
12	17	12.3
12	19	4.5
13	7	5.6
14	6	4.5
14	11	5.6
15	20	5.7
16	19	5.6
16	17	12.4
17	20	1.2
17	6	5.6
18	7	34.5
18	3	4.65
18	4	4.6
19	20	4.5
19	12	3.45
19	7	4.5
20	0	4.56
20	1	7.8
20	13	45.6
